offer_id,first_day_exposition,last_day_exposition,last_price,floor,open_plan,rooms,studio,area,kitchen_area,living_area,agent_fee,renovation,offer_type,category_type,unified_address,building_id
5.48501E+18,2018-08-14T00:00:00+03:00,2018-08-20T00:00:00+03:00,2763605,11,FALSE,1,FALSE,26.65,,14,,,1,2,"Россия, Санкт-Петербург, посёлок Парголово, улица Валерия Гаврилина, 5",3.48158E+18
8.36826E+17,2018-01-17T00:00:00+03:00,2018-03-03T00:00:00+03:00,1955000,15,FALSE,0,TRUE,20.17,,,,2,1,2,"Россия, Санкт-Петербург, Мурино, 17В",6.02242E+18
3.882E+18,2016-04-15T00:00:00+03:00,2016-09-23T00:00:00+03:00,8800000,2,FALSE,2,FALSE,78,,55,,0,1,2,"Россия, Санкт-Петербург, Бронницкая улица, 5",8.1381E+18
9.0692E+18,2018-02-09T00:00:00+03:00,2018-07-27T00:00:00+03:00,10380000,2,FALSE,2,FALSE,94.2,15.7,50.4,,11,1,2,"Россия, Санкт-Петербург, Апраксин переулок, 20",4.96163E+18
6.2014E+18,2018-02-13T00:00:00+03:00,2018-06-29T00:00:00+03:00,7425600,17,FALSE,1,FALSE,47.6,12.8,17.1,,,1,2,"Россия, Санкт-Петербург, Московский проспект, 2",3.72845E+18
1.9578E+18,2018-08-05T00:00:00+03:00,2018-08-09T00:00:00+03:00,22000,2,FALSE,2,FALSE,50,9.5,28,37,,2,2,"Россия, Санкт-Петербург, Купчинская улица, 19к2",3.9004E+16
2.55464E+18,2015-11-18T00:00:00+03:00,2018-08-18T00:00:00+03:00,6000000,5,FALSE,2,FALSE,55.8,8.1,32,,,1,2,"Россия, Санкт-Петербург, проспект Просвещения, 87к1",5.61327E+17
2.55464E+18,2016-03-18T00:00:00+03:00,2017-03-29T00:00:00+03:00,5650000,2,FALSE,3,FALSE,62.7,7.2,39.1,,0,1,2,"Россия, Санкт-Петербург, улица Веденеева, 4",1.46663E+17
5.86728E+18,2015-11-17T00:00:00+03:00,2017-04-19T00:00:00+03:00,10115783,3,FALSE,3,FALSE,85.2,15.6,44.1,,0,1,2,"Россия, Санкт-Петербург, Кременчугская улица, 13к1",9.0783E+18
7.10196E+18,2015-10-16T00:00:00+03:00,2018-07-20T00:00:00+03:00,18000,9,FALSE,0,TRUE,32,,,60,11,2,2,"Россия, Санкт-Петербург, проспект Наставников, 34",4.18695E+18
8.31025E+18,2017-07-10T00:00:00+03:00,2017-07-27T00:00:00+03:00,9007798,13,FALSE,2,FALSE,55.9,10.6,33.7,,0,1,2,"Россия, Санкт-Петербург, Пискарёвский проспект, 1",2.6025E+18
1.34375E+18,2015-07-01T00:00:00+03:00,2017-07-03T00:00:00+03:00,60000,2,FALSE,4,FALSE,160,25,121,,0,2,2,"Россия, Санкт-Петербург, Московский проспект, 151",4.37318E+18
2.82187E+18,2017-02-19T00:00:00+03:00,2017-02-20T00:00:00+03:00,13000,6,FALSE,1,FALSE,38,10,24,90,3,2,2,"Россия, Ленинградская область, Всеволожский район, Колтушское сельское поселение, деревня Старая, Верхняя улица, 5к1",5.24587E+18
9.17461E+18,2016-09-07T00:00:00+03:00,2017-06-16T00:00:00+03:00,3750000,12,FALSE,1,FALSE,40.2,8,21.2,,0,1,2,"Россия, Санкт-Петербург, Кондратьевский проспект, 75к1",1.08118E+18
7.86141E+18,2016-09-28T00:00:00+03:00,2016-11-12T00:00:00+03:00,2800000,4,FALSE,2,FALSE,52,10,30,,3,1,2,"Россия, Ленинградская область, Тосненское городское поселение, Тосно, улица Максима Горького, 77",2.97129E+18
8.61876E+18,2017-03-27T00:00:00+03:00,2018-08-20T00:00:00+03:00,2500000,1,FALSE,3,FALSE,60,6,44,,2,1,2,"Россия, Ленинградская область, Гатчинский район, поселок городского типа Вырица, улица Соболевского, 44",1.64709E+18
4.37387E+18,2015-12-28T00:00:00+03:00,2018-07-30T00:00:00+03:00,4750000,11,FALSE,1,FALSE,42,10.5,19,,,1,2,"Россия, Санкт-Петербург, Богатырский проспект, 26к1",5.38102E+18
8.31025E+18,2017-10-12T00:00:00+03:00,2018-07-24T00:00:00+03:00,15500000,5,FALSE,3,FALSE,90,15,63,0,1,1,2,"Россия, Санкт-Петербург, 7-я Советская улица, 18/21",3.80067E+18
7.47366E+18,2016-02-12T00:00:00+03:00,2016-04-27T00:00:00+03:00,45000,4,FALSE,2,FALSE,69,,,100,0,2,2,"Россия, Санкт-Петербург, Полтавский проезд, 2",1.19269E+18
5.63902E+18,2018-07-01T00:00:00+03:00,2018-07-08T00:00:00+03:00,6129510,11,FALSE,1,FALSE,42.68,20.55,10.81,,4,1,2,"Россия, Санкт-Петербург, Дальневосточный проспект, 12к1",9.05121E+18
1.34375E+18,2017-06-15T00:00:00+03:00,2017-06-30T00:00:00+03:00,2315000,22,FALSE,1,FALSE,26.5,5,13.8,,0,1,2,"Россия, Санкт-Петербург, посёлок Парголово, улица Михаила Дудина, 12",6.14737E+18
3.2115E+18,2017-11-21T00:00:00+03:00,2017-11-27T00:00:00+03:00,25000,17,FALSE,1,FALSE,40,9,20,50,,2,2,"Россия, Санкт-Петербург, Парашютная улица, 31к1",6.95742E+18
9.17461E+18,2014-12-04T00:00:00+03:00,2016-06-30T00:00:00+03:00,8000000,4,FALSE,2,FALSE,71.3,8,46.1,,0,1,2,"Россия, Санкт-Петербург, Алтайская улица, 12",6.3258E+18
