offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
7569506429740848736	2017-06-13T00:00:00+03:00	2018-05-08T00:00:00+03:00	2600000.0	5	False	0	True	25.9		15.0		11.0	1	2	Россия, Ленинградская область, Ломоносовский район, Аннинское городское поселение, городской посёлок Новоселье, Центральная улица, 3к2	4114457066087298761
2036664687137047041	2017-04-23T00:00:00+03:00	2017-05-07T00:00:00+03:00	18000.0	4	False	1	False	39.0	12.0	15.0	0.0	11.0	2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Новая улица, 7к3	1435952942574912764
5639023998024350185	2018-07-13T00:00:00+03:00	2018-08-15T00:00:00+03:00	6968331.0	23	False	2	False	57.5	12.73	28.93		6.0	1	2	Россия, Санкт-Петербург, проспект Александровской Фермы, 3	8558908009649388675
6299009708806456082	2017-02-22T00:00:00+03:00	2017-07-07T00:00:00+03:00	28000.0	12	False	2	False	62.0	10.0	34.0		0.0	2	2	Россия, Санкт-Петербург, улица Ворошилова, 27к1	2769080952289967953
2554639205141369080	2017-11-23T00:00:00+03:00	2018-02-07T00:00:00+03:00	4400000.0	7	False	1	False	35.5	9.0	18.5			1	2	Россия, Санкт-Петербург, проспект Космонавтов, 65к10	6560525592474888222
9039022145069893121	2017-09-01T00:00:00+03:00	2017-10-16T00:00:00+03:00	900000.0	2	False	2	False	42.0	6.0	29.0		0.0	1	2	Россия, Ленинградская область, Тихвинский район, Мелегежское сельское поселение, деревня Мелегежская Горка, 12	2512654200263742693
5495926414223074304	2018-05-04T00:00:00+03:00	2018-07-03T00:00:00+03:00	1800000.0	5	False	2	False	53.0					1	2	Россия, Ленинградская область, Волховский район, Новоладожское городское поселение, Новая Ладога, микрорайон А, 13	1881911908914233897
4530556450572532993	2016-10-14T00:00:00+03:00	2016-11-27T00:00:00+03:00	4080000.0	5	False	1	False	42.0	10.44	18.84		10.0	1	2	Россия, Санкт-Петербург, Парашютная улица, 56к2	6957418200792267848
2609165	2015-05-20T00:00:00+03:00	2016-02-05T00:00:00+03:00	8500000.0	8	False	2	False	55.2	8.0	46.0		8.0	1	2	Россия, Санкт-Петербург, Новгородская улица, 23	2994517873812301407
5153718712248373761	2017-02-01T00:00:00+03:00	2017-03-16T00:00:00+03:00	4450000.0	5	False	2	False	44.2	5.0	28.0		10.0	1	2	Россия, Санкт-Петербург, улица Шателена, 8	4737807457168057290
